Site ID,Site Type,Picture IDs,Lat,Long,street,house number,Date/Time Collected,Person(s) collecting,Regional slope direction [Az],Regional slope magnitude [degrees from horizontal],Lithology (if exposed),"Damaged Structure [1=sidewalk, 2=road, 3=fence, 4=house-wall, 5=other, 6=Pole,7=Stair]",Damage Metrics Length [m],Damage Metrics Area [m^2],Damage Metrics Width [m],Damage Metrics Displacement [m],Damage Metrics Orientation [Az],Damage Metrics Tilt [degree from vertical],Damage Metrics Humockiness (Orientation [Az]),Damage Metrics Humockiness (wavelength [m]),Damage Metrics Humockiness (Amplitude [m]),Damage Metrics Misc,"magnitude of damage – categorical [1-low, 5 hig]","evidence of repair [1-yes, 2-no]","Material Type [1=concrete, 2=brick, 3=asphalt, 4=stone, 5=wood, 6=meta]",Absolute age [year bc],"categoric age 1=young, 2=mid, 3=old",Distance to influential Objects Tree,Distance to influential Objects Fire Hydrant,Distance to influential Objects Drain,Distance to influential Objects street corner,Distance to influential Objects Driveway,Distance to influential Objects other,Notes/comments
SL6,S_L,5299,40.43910832,-79.93527841,Northumberland,5369,11/12/17 16:46,Buford Group,142,0.06,soil,1,0.97,1.27,0.02,0.04,226,0.7,NA,NA,NA,NA,1,2,1,?,1,0.5,NA,0.01,NA,NA,Displaced near tree,
SL7,S_L,5300,40.43898997,-79.93548043,Northumberland,5369,11/12/17 16:48,Buford Group,142,0.06,soil,1,0.01,2.5,0.06,0.03,190,1.2,NA,NA,NA,NA,1,2,1,?,1,NA,NA,0.03,NA,NA,located near manhole,
SL8,S_L,5301,40.43901524,-79.93564935,Northumberland,5363,11/12/17 16:49,Buford Group,142,0.06,soil,1,2.46,2.37,0.08,0.021,190,NA,NA,NA,NA,NA,4,2,1,?,2,NA,NA,NA,NA,0.5,located near end of sidewalk,
SL9,S_L,5302,40.43972811,-79.93793769,Schenley Rd,110,11/12/17 16:55,Buford Group,142,0.06,soil,1,1.23,2.48,0.24,0.03,228,NA,NA,NA,NA,NA,3,2,1,?,2,NA,NA,NA,NA,NA,not located near influential objects,
LS1,S_L,CFW_LS1,40.44050900,-79.94232200,Frew,CMU Tepper School of Buiness,11/17/17 8:39,CFW,30,2,,2,2,,,,30,,,,,,1,2,3,,1,,,,0,,Street corner,
LS2,S_L,CFW_LS2,40.44055556,-79.94277778,Frew,CMU Tepper School of Buiness,11/17/17 8:46,CFW,30,2,,2,3,,,,120,,,,,,1,2,3,,1,,,,,,road edge,
LS3,S_L,CFW_LS3,40.44083333,-79.94277778,Frew,CMU Tepper School of Buiness,11/17/17 8:49,CFW,30,2,,2,3,,0.25,,120,,,,,,2,2,3,,1,,,,,,road edge,
LS4,S_L,CFW_LS4,40.44083333,-79.94305556,Frew,CMU Tepper School of Buiness,11/17/17 8:51,CFW,270,2,,1,3.7,,,,120,,,,,,1,1,1,,1,,,,,,,
LS5,S_L,CFW_LS5,40.44083333,-79.94305556,Frew,CMU Tepper School of Buiness,11/17/17 8:54,CFW,30,2,,2,3,,,,,,,,,,1,2,1,,1,,,,,,,
LS6,S_L,CFW_LS6,40.44083333,-79.94361111,Frew,CMU Hunt Library,11/17/17 9:00,CFW,30,2,,2,1.7,,0.04,,120,,,,,,1,2,3,,1,,,,,,parking lot,
LS7,S_L,CFW_LS7,40.44083333,-79.94388889,Frew,CMU Hunt Library,11/17/17 9:03,CFW,,2,,2,10,,0.03,,120,,,,,,1,2,3,,1,,,,,,parking lot,
LS8,S_L,CFW_LS8,40.44083333,-79.94388889,Frew,CMU Hunt Library,11/17/17 9:04,CFW,,2,,2,4.1,,,,,,,,,,1,2,3,,1,,,,0,,road edge,
LS9,S_L,CFW_LS9,40.44083333,-79.94388889,Frew,CMU Hunt Library,11/17/17 9:05,CFW,,2,,2,5.8,,,,,,,,,,1,2,3,,1,,,,,,road edge,
LS10,S_L,CFW_LS10,40.44138889,-79.94333333,Frew,CMU Hunt Library,11/17/17 9:08,CFW,,0,,1,1.7,,,,40,,,,,,1,2,1,,1,,,,,,,
LS11,S_L,CFW_LS11,40.44138889,-79.94305556,Frew,CMU Hunt Library,11/17/17 9:10,CFW,,0,,1,2.5,,,,120,,,,,,1,2,1,,1,,,0,,,by drain,
LS12,S_L,CFW_LS12,40.44138889,-79.94305556,Frew,CMU School of Music,11/17/17 9:13,CFW,,0,,4,1.9,,,,,0,,,,,1,2,1,,1,,,,,,,
LS13,S_L,CFW_LS13,40.44138889,-79.94305556,Frew,CMU School of Music,11/17/17 9:14,CFW,,0,,4,1.9,,,,,0,,,,,1,2,1,,1,,,,,,,
LS14,S_L,CFW_LS14,40.44138889,-79.94305556,Frew,CMU School of Music,11/17/17 9:15,CFW,,0,,4,1.2,,,,,0,,,,,1,2,1,,1,,,,,,,
LS15,S_L,CFW_LS15,40.44138889,-79.94305556,Frew,CMU School of Music,11/17/17 9:16,CFW,,0,,4,2,,,,,0,,,,,1,2,1,,1,,,,,,,
LS16,S_L,CFW_LS16,40.44111111,-79.94277778,Frew,CMU School of Music,11/17/17 9:17,CFW,,0,,1,,10,,,,,,,,,1,1,1,,1,,,,,,by 3 drains,
LS17,S_L,CFW_LS17,40.44194444,-79.94277778,Margaret Morrison,CMU School of Music,11/17/17 9:22,CFW,,0,,2,,100,,,,,,,,,1,1,3,,2,,,0,,,web of cracks in parking lot,
LS18,S_L,CFW_LS18,40.44194444,-79.94277778,Margaret Morrison,CMU School of Music,11/17/17 9:25,CFW,,2,,1,1.2,,,0.1,,,,,,,2,2,1,,2,,,0.5,,,,
LS19,S_L,CFW_LS19,40.44194444,-79.94277778,Margaret Morrison,CMU School of Music,11/17/17 9:27,CFW,,2,,2,2.5,,,,10,,,,,,1,2,3,,2,,,0.5,,,,
LS20,S_L,CFW_LS20,40.44166667,-79.94166667,Tech,Margaret Morrison Carnegie Hall,11/17/17 9:29,CFW,290,6,,2,6.1,,,,,,,,,,1,2,3,,2,,0,,,,,
LS21,S_L,CFW_LS21,40.44138889,-79.94055556,Margaret Morrison,Margaret Morrison Carnegie Hall,11/17/17 9:31,CFW,,0,,1,2.3,,,,,,,,,,1,2,1,,2,,,,,,electrical box,
LS22,S_L,CFW_LS22,40.44138889,-79.94055556,Margaret Morrison,Hill Residences,11/17/17 9:33,CFW,,0,,1,2.3,,,,,,,,,,1,2,1,,2,,,,,,,
LS23,S_L,CFW_LS23,40.44166667,-79.93944444,Margaret Morrison,Hill Residences,11/17/17 9:36,CFW,,20,,4,,1,,,,8,,,,,1,2,6,,2,,,,,,,
LS24,S_L,CFW_LS24,40.44166667,-79.93944444,Margaret Morrison,Hill Residences,11/17/17 9:39,CFW,,30,,4,7.2,,,,,10,,,,,2,2,4,,2,,,,,,,
LS25,S_L,CFW_LS25,40.44166667,-79.93944444,Margaret Morrison,Margaret Morrison Carnegie Hall,11/17/17 9:42,CFW,,28,,4,14,,,,,4,,,,,1,2,4,,2,,,,,,,
LS26,S_L,CFW_LS26,40.44222222,-79.93861111,Margaret Morrison,by india on wheels 2.0,11/17/17 9:45,CFW,,0,,1,2,,,,60,,,,,,1,2,1,,2,,,,,,,
LS27,S_L,CFW_LS27,40.44194444,-79.93888889,Margaret Morrison,by soccer field,11/17/17 9:48,CFW,,5,,1,2.35,,,,20,,,,,,1,2,1,,1,,,,,,,
LS28,S_L,CFW_LS28,40.44138889,-79.94055556,Margaret Morrison,Margaret Morrison Carnegie Hall,11/17/17 9:52,CFW,,0,,1,4.1,,,,60,,,,,,1,2,1,,1,,0,,,,,
LS29,S_L,CFW_LS29,40.44138889,-79.94055556,Margaret Morrison,Margaret Morrison Carnegie Hall,11/17/17 9:54,CFW,,0,,1,1.55,,,,,,,,,,1,2,1,,1,,,0,,,electrical box,
LS30,S_L,CFW_LS30,40.44138889,-79.94166667,Tech,Skibo Gymnaisum,11/17/17 9:56,CFW,,18,,1,1.3,,,,,,,,,,1,2,1,,1,,,,,,,
HS1,S_H,CFW_HS1,40.42777778,-79.91472222,Mt Royal and Forward,,11/17/17 10:57,CFW,40,10,,1,1.4,,,0.04,90,,,,,,1,2,1,,1,,,,,,,
HS2,S_H,CFW_HS2,40.42777778,-79.91444444,Westland,145,11/17/17 11:02,CFW,220,8,,2,3,,,,,,,,,,1,2,1,,1,,,,0,,,
HS3,S_H,CFW_HS3,40.42722222,-79.91444444,Westland,,11/17/17 11:06,CFW,,8,,2,10.9,,0.1,,,,,,,,2,2,3,,2,,,,,,,
HS4,S_H,CFW_HS4,40.42694444,-79.91527778,Westland,,11/17/17 11:08,CFW,,4,,1,1.54,,,,,,,,,,1,2,1,,2,,,,,,,
HS5,S_H,CFW_HS5,40.42666667,-79.91527778,Westland,127,11/17/17 11:10,CFW,,4,,2,,22.68,,,,,,,,,2,2,1,,1,,,0.5,,0,,
HS6,S_H,CFW_HS6,40.42583333,-79.91638889,Westland,,11/17/17 11:15,CFW,,8,,1,1.25,,,0.04,,,,,,,1,2,1,,2,,,,,,,
HS7,S_H,CFW_HS7,40.42555556,-79.91611111,Anita,,11/17/17 11:18,CFW,,4,,1,2.7,,0.35,,,,,,,,1,2,1,,1,,,,,,,
HS8,S_H,CFW_HS8,40.42555556,-79.91611111,Anita,114,11/17/17 11:20,CFW,,4,,1,1.2,,,0.05,,,,,,,1,2,1,,1,,,,,,,
HS9,S_H,CFW_HS9,40.42555556,-79.91583333,Anita,116,11/17/17 11:22,CFW,,8,,4,0.6,,,,,,,,,,1,2,1,,2,,,,,0,,
HS10,S_H,CFW_HS10,40.42555556,-79.91583333,Anita,116,11/17/17 11:24,CFW,,8,,1,1.5,1.69,,,,,,,,,1,2,1,,2,,,,,,,
HS11,S_H,CFW_HS11,40.42555556,-79.91555556,Anita,131,11/17/17 11:26,CFW,,10,,1,1.4,,,0.09,,,,,,,1,2,1,,2,0.3,0,,,,,
HS12,S_H,CFW_HS12,40.42555556,-79.91555556,Anita,131,11/17/17 11:27,CFW,,10,,1,4.2,,,,,,,,,,1,1,1,,2,,,,,0,,
HS13,S_H,CFW_HS13,40.42500000,-79.91527778,Anita,149,11/17/17 11:28,CFW,,10,,2,3.4,,,,,,,,,,1,2,1,,2,,,,,0,,
HS14,S_H,CFW_HS14,40.42500000,-79.91527778,Anita,,11/17/17 11:29,CFW,,12,,1,1.5,3.5,,,,,,,,,1,2,1,,1,,,,,,,
HS15,S_H,CFW_HS15,40.42500000,-79.91527778,Anita,157,11/17/17 11:32,CFW,,12,,1,1.2,,,0.06,0,,,,,,1,2,1,,1,,,,,,electirc pole,
HS16,S_H,CFW_HS16,40.42500000,-79.91500000,Anita,161,11/17/17 11:35,CFW,,8,,1,2,,,,0,,,,,,1,2,1,,1,,0,,,,,
HS17,S_H,CFW_HS17,40.42500000,-79.91500000,Anita,161,11/17/17 11:37,CFW,,8,,4,9.1,,,,,12,,,,,1,2,5,,2,,,,,,,
HS18,S_H,CFW_HS18,40.42500000,-79.91500000,Anita,,11/17/17 11:39,CFW,,8,,4,2.3,34.5,,,,6,,,,,1,2,2,,2,,,,,0,,
HS19,S_H,CFW_HS19,40.42527778,-79.91305556,Fernwald,2700,11/17/17 11:48,CFW,,0,,2,4.4,,,,90,,,,,,1,2,3,,1,,,,,,,
HS20,S_H,CFW_HS20,40.42611111,-79.91361111,Fernwald,2720,11/17/17 11:52,CFW,,10,,2,1.6,,,,40,,,,,,1,2,1,,2,,,,,0,,
HS21,S_H,CFW_HS21,40.42694444,-79.91388889,Fernwald,,11/17/17 11:57,CFW,,8,,6,,,,,,8,,,,,1,2,5,,1,,,,,,,
HS22,S_H,CFW_HS22,40.42694444,-79.91416667,Mt. Royal and Fernwald,2654,11/17/17 12:00,CFW,,16,,6,,,,,,8,,,,,1,2,5,,1,,,,,,electric pole on street corner,
HS23,S_H,CFW_HS23,40.42694444,-79.91416667,Mt. Royal and Fernwald,2654,11/17/17 12:04,CFW,,16,,1,12.6,,,0.08,,,,,,,1,2,1,,2,1,,0.5,0.3,,,
HS24,S_H,CFW_HS24,40.42666667,-79.91388889,Mt. Royal,2707,11/17/17 12:06,CFW,,10,,1,,2.88,,0.05,,,,,,,2,2,1,,1,1,,,,,,
HS25,S_H,CFW_HS25,40.42694444,-79.91444444,Mt. Royal,2656,11/17/17 12:07,CFW,,14,,2,,3.74,,,,,,,,,1,2,1,,2,,,0.5,,0,,
HS26,S_H,CFW_HS26,40.42694444,-79.91444444,Mt. Royal,2656,11/17/17 12:09,CFW,,18,,1,4.2,1.44,,,50,,,,,,2,2,1,,2,0,,,,0,,
HS27,S_H,CFW_HS27,40.42611111,-79.91388889,Mt. Royal,2715,11/17/17 12:13,CFW,,10,,3,,,,,,8,,,,,1,2,6,,2,,,,,,black railing,
HS28,S_H,CFW_HS28,40.42638889,-79.91416667,Mt. Royal,2717,11/17/17 12:16,CFW,,10,,1,1.5,,,0.06,50,,,,,,2,1,1,,2,,,,,,,
HS29,S_H,CFW_HS29,40.42638889,-79.91416667,Mt. Royal,2723,11/17/17 12:16,CFW,,0,,1,1.2,,,0.04,90,,,,,,1,2,1,,2,,,,,,,
HS30,S_H,CFW_HS30,40.42555556,-79.91388889,Mt. Royal,2729,11/17/17 12:20,CFW,,0,,1,3.1,,,0.08,,,,,,,3,2,1,,2,,,,,,displaced concrete plus electric pole,
